#{"t_start": 1584126944.1715174, "env_id": null}
r,l,t
-9.738095,12,4.41147
-9.761905,11,4.564845
-9.738095,12,4.706479
-0.714286,13,4.898069
-9.785714,10,5.022458
1.309524,14,5.188023
-9.809524,9,5.292911
-9.666667,15,5.453939
1.238095,11,5.59933
1.095238,5,5.660492
-9.642857,16,5.841121
1.119048,6,5.911731
-0.714286,13,6.082215
1.095238,5,6.171603
-0.761905,11,6.398542
-9.642857,16,6.637596
-9.761905,11,6.762246
1.309524,14,6.948686
1.285714,13,7.136103
1.142857,7,7.225267
1.190476,9,7.340298
-9.666667,15,7.530326
-9.809524,9,9.842182
1.190476,9,10.052675
1.095238,5,10.17677
-0.809524,9,10.402253
-0.928571,4,10.508707
-0.690476,14,10.808095
-0.785714,10,11.078126
-9.785714,10,11.30834
1.285714,13,11.617043
-9.833333,8,11.832464
-0.809524,9,12.098875
1.333333,15,12.440375
1.285714,13,12.748878
1.309524,14,13.126616
1.142857,7,13.368302
1.214286,10,13.669332
-0.761905,11,13.996492
1.119048,6,14.1649
-0.690476,14,14.639488
-9.619048,17,15.03314
-9.738095,12,15.265615
-0.833333,8,15.449612
1.119048,6,15.612765
1.309524,14,15.901161
1.119048,6,16.059362
1.142857,7,16.257035
-0.761905,11,17.689128
-9.785714,10,17.942044
-0.833333,8,18.146811
1.261905,12,18.407626
1.119048,6,18.501951
1.166667,8,18.632374
1.238095,11,18.820105
-0.809524,9,19.019126
1.095238,5,19.132661
-0.785714,10,19.345679
-0.880952,6,19.447651
-0.928571,4,19.52217
1.238095,11,19.698785
-0.738095,12,19.883049
1.214286,10,20.073679
1.190476,9,20.245219
1.214286,10,20.433741
1.214286,10,20.736696
-9.857143,7,20.861869
-9.714286,13,21.067999
1.214286,10,21.200979
1.285714,13,21.435211
1.261905,12,21.663682
1.071429,4,21.730574
1.214286,10,21.898805
1.357143,16,22.134056
1.190476,9,22.251437
1.309524,14,23.814146
1.238095,11,24.065457
1.285714,13,24.330334
-0.857143,7,24.529269
1.190476,9,24.716005
-9.714286,13,24.958309
1.261905,12,25.177285
-0.714286,13,25.430022
-0.857143,7,25.573348
1.261905,12,25.788746
1.166667,8,25.934906
-9.619048,17,26.267258
-9.666667,15,26.620576
-0.642857,16,26.99191
1.333333,15,27.270744
-0.785714,10,27.478104
-0.904762,5,27.580942
-0.904762,5,27.663327
1.142857,7,27.761861
-9.714286,13,28.052569
-9.785714,10,28.251396
-0.857143,7,28.40443
1.238095,11,28.60034
-9.690476,14,30.086954
-9.666667,15,30.378832
1.095238,5,30.497594
-9.738095,12,30.737171
1.285714,13,30.985766
-0.714286,13,31.225568
1.166667,8,31.385953
-0.928571,4,31.473591
-0.928571,4,31.563488
-9.738095,12,31.752402
-9.666667,15,31.97329
1.190476,9,32.114584
1.214286,10,32.269458
1.166667,8,32.40246
-9.785714,10,32.565719
-0.857143,7,32.723651
1.166667,8,32.909599
1.095238,5,33.030885
-9.761905,11,33.232467
1.190476,9,33.37818
-9.690476,14,33.59624
-0.809524,9,33.747004
1.261905,12,33.918451
1.285714,13,34.113398
-0.928571,4,34.192169
-0.809524,9,34.336426
-9.761905,11,34.488059
-9.690476,14,35.852002
-0.738095,12,36.07178
-0.857143,7,36.249427
1.142857,7,36.394903
-0.833333,8,36.581247
1.238095,11,36.780862
1.166667,8,36.931405
1.214286,10,37.100731
1.214286,10,37.247615
-9.785714,10,37.391277
-0.642857,16,37.71642
1.214286,10,37.911407
-9.690476,14,38.20853
1.190476,9,38.362469
-9.666667,15,38.582722
1.119048,6,38.678605
-0.857143,7,38.828627
1.214286,10,39.002585
1.190476,9,39.139246
-9.761905,11,39.318989
1.166667,8,39.472432
-9.761905,11,39.628156
-0.928571,4,39.699652
-9.785714,10,39.873103
-0.833333,8,40.035451
1.190476,9,40.21224
1.214286,10,41.568908
-9.738095,12,41.793253
1.166667,8,41.927997
-0.833333,8,42.062662
-9.738095,12,42.231394
1.261905,12,42.394589
1.238095,11,42.560014
-0.857143,7,42.676085
-0.904762,5,42.75272
-9.809524,9,42.89755
1.261905,12,43.215106
1.166667,8,43.36105
1.309524,14,43.600131
-9.738095,12,43.917172
1.142857,7,44.059087
-0.857143,7,44.235666
-0.785714,10,44.501967
1.238095,11,44.721365
1.238095,11,44.921117
1.261905,12,45.110982
-9.690476,14,45.332316
-9.642857,16,45.5719
1.238095,11,45.751616
1.309524,14,45.954774
-9.642857,16,47.271046
1.190476,9,47.429381
1.285714,13,47.645151
-0.738095,12,47.892041
1.261905,12,48.140095
1.142857,7,48.284544
1.214286,10,48.448221
1.095238,5,48.536159
-0.738095,12,48.725703
1.166667,8,48.867326
1.285714,13,49.091541
-9.666667,15,49.329463
-0.761905,11,49.499516
-0.833333,8,49.627148
-9.738095,12,49.790624
1.214286,10,49.96154
1.190476,9,50.133545
-9.761905,11,50.291114
1.166667,8,50.412986
1.119048,6,50.502254
1.285714,13,50.711608
1.071429,4,50.785301
-0.738095,12,51.034753
-0.666667,15,51.340479
1.166667,8,51.50788
-9.690476,14,52.878692
-9.833333,8,53.030659
1.309524,14,53.286472
1.333333,15,53.570992
-0.738095,12,53.74129
-0.785714,10,53.913656
1.309524,14,54.139827
-0.714286,13,54.334517
1.095238,5,54.425493
-0.785714,10,54.566706
1.166667,8,54.713082
1.214286,10,54.905379
1.166667,8,55.058288
-0.833333,8,55.198882
-0.785714,10,55.409432
1.309524,14,55.771303
-9.642857,16,56.163606
1.238095,11,56.397922
1.119048,6,56.534162
-0.833333,8,56.732112
1.071429,4,56.831629
-9.761905,11,57.035745
-0.904762,5,57.16005
1.214286,10,57.383333
1.333333,15,57.748156
1.261905,12,59.190001
1.261905,12,59.395087
-0.809524,9,59.557489
1.166667,8,59.709729
1.238095,11,59.919109
-0.880952,6,60.051228
-0.714286,13,60.290331
-9.785714,10,60.448999
-0.904762,5,60.535403
1.166667,8,60.684987
-0.785714,10,60.87649
-0.809524,9,61.064569
1.119048,6,61.202914
-0.833333,8,61.384053
-0.761905,11,61.611656
-9.738095,12,61.771004
-0.761905,11,61.974747
1.142857,7,62.122921
-0.833333,8,62.300196
1.095238,5,62.397147
1.214286,10,62.614767
-0.857143,7,62.796748
1.190476,9,62.974084
-0.785714,10,63.185101
1.190476,9,63.338158
1.190476,9,63.515513
1.261905,12,63.754709
1.166667,8,63.9121
1.261905,12,65.60035
1.238095,11,65.923156
1.190476,9,66.147035
1.238095,11,66.39419
1.285714,13,66.619268
1.238095,11,66.865116
1.190476,9,67.08378
-9.809524,9,67.273221
1.119048,6,67.422019
1.142857,7,67.566529
-0.761905,11,67.744947
-9.690476,14,67.944832
-0.857143,7,68.072195
1.071429,4,68.152312
-0.880952,6,68.296706
1.238095,11,68.560457
1.071429,4,68.664456
1.190476,9,68.886369
1.166667,8,69.103593
-0.809524,9,69.346699
1.333333,15,69.646693
1.261905,12,69.948536
1.285714,13,70.212148
-0.857143,7,70.385451
-9.690476,14,70.636426
-0.761905,11,70.84576
1.166667,8,72.318054
-9.738095,12,72.534142
1.214286,10,72.729698
-0.833333,8,72.888326
-0.928571,4,73.006427
-9.714286,13,73.35966
-9.666667,15,73.695276
1.214286,10,73.881093
1.214286,10,74.090616
1.095238,5,74.204421
1.261905,12,74.412483
-9.738095,12,74.591098
1.214286,10,74.732208
-0.785714,10,74.88665
1.166667,8,75.009884
-9.642857,16,75.22641
1.071429,4,75.327486
1.214286,10,75.515276
1.214286,10,75.684877
1.119048,6,75.779819
1.261905,12,75.962405
-0.928571,4,76.056735
-0.785714,10,76.211922
